0043.jpg,127,133,280,133,280,226,127,226,enjoy
0043.jpg,134,217,264,217,264,286,134,286,every
0043.jpg,114,274,290,274,290,321,114,321,moment
0092.jpg,97,83,189,83,189,139,97,139,come
0092.jpg,205,71,303,71,303,146,205,146,thou
0092.jpg,61,142,171,142,171,217,61,217,fount
#0092.jpg,183,145,224,145,224,217,183,217,of
0092.jpg,231,163,337,163,337,242,231,242,every
0092.jpg,122,215,289,215,289,308,122,308,blessing
0092.jpg,41,291,146,291,146,353,41,353,tune
#0092.jpg,159,303,218,303,218,375,159,375,my
0092.jpg,230,285,346,285,346,351,230,351,heart
#0092.jpg,9,358,73,358,73,422,9,422,to
0092.jpg,84,373,170,373,170,444,84,444,sing
0092.jpg,180,356,256,356,256,452,180,452,thy
0092.jpg,261,372,375,372,375,450,261,450,grace
0075.jpg,105,85,173,85,173,109,105,109,WAKE
#0075.jpg,182,86,213,86,213,108,182,108,UP
0075.jpg,220,87,298,87,298,111,220,111,EVERY
0075.jpg,307,89,412,89,412,110,307,110,MORNING
#0075.jpg,114,108,142,108,142,128,114,128,IN
#0075.jpg,150,108,170,108,170,127,150,127,A
0075.jpg,178,109,256,109,256,128,178,128,HOUSE
0075.jpg,263,109,327,109,327,128,263,128,THAT
0075.jpg,337,108,386,108,386,127,337,127,WAS
0075.jpg,143,126,219,126,219,145,143,145,BUILT
#0075.jpg,224,125,253,125,253,148,224,148,BY
0075.jpg,263,129,350,129,350,147,263,147,SLAVES
0075.jpg,76,145,125,145,125,167,76,167,AND
#0075.jpg,130,147,145,147,145,166,130,166,I
0075.jpg,153,145,238,145,238,167,153,167,WATCH
#0075.jpg,243,146,276,146,276,167,243,167,MY
0075.jpg,285,145,426,145,426,166,285,166,DAUGHTERS
0075.jpg,151,166,198,166,198,187,151,187,TWO
0075.jpg,210,164,344,164,344,185,210,185,BEAUTIFUL
0075.jpg,81,184,243,184,243,204,81,204,INTELLIGENT
0075.jpg,251,185,332,185,332,204,251,204,BLACK
0075.jpg,336,184,419,184,419,207,336,207,YOUNG
0075.jpg,102,204,192,204,192,223,102,223,WOMEN
0075.jpg,196,205,301,205,301,224,196,224,PLAYING
#0075.jpg,307,203,344,203,344,222,307,222,ON
0075.jpg,348,203,400,203,400,222,348,222,THE
0075.jpg,127,222,207,222,207,244,127,244,WHITE
0075.jpg,212,223,292,223,292,243,212,243,HOUSE
0075.jpg,298,223,368,223,368,243,298,243,LAWN
0075.jpg,142,249,253,249,253,299,142,299,Michelle
0075.jpg,257,251,353,251,353,295,257,295,Obama
#0075.jpg,87,88,100,88,100,111,87,111,I
0064.jpg,52,53,188,53,188,131,52,131,Think
0064.jpg,173,91,344,91,344,176,173,176,Happy
#0064.jpg,80,128,171,128,171,184,80,184,Be
0064.jpg,137,162,303,162,303,232,137,232,Happy
0084.jpg,63,116,335,116,335,384,63,384,HOME
0045.jpg,125,162,164,162,164,177,125,177,YOU
0045.jpg,167,159,214,159,214,177,167,177,HAVE
#0045.jpg,216,160,244,160,244,178,216,178,TO
0045.jpg,126,177,175,177,175,197,126,197,HAVE
0045.jpg,179,177,224,177,224,199,179,199,BEEN
#0045.jpg,227,181,241,181,241,198,227,198,A
0045.jpg,121,201,223,201,223,220,121,220,REPUBLICAN
#0045.jpg,225,196,252,196,252,217,225,217,TO
0045.jpg,108,218,163,218,163,240,108,240,KNOW
0045.jpg,167,217,208,217,208,239,167,239,HOW
0045.jpg,214,223,259,223,259,239,214,239,GOOD
#0045.jpg,128,238,145,238,145,258,128,258,IT
#0045.jpg,148,241,169,241,169,260,148,260,IS
